iter	Passed	Remaining
0	144	144338
1	145	72634
2	146	48725
3	147	36740
4	148	29561
5	149	24778
6	150	21338
7	151	18779
8	152	16793
9	153	15184
10	154	13868
11	155	12765
12	156	11866
13	157	11077
14	158	10390
15	159	9796
16	160	9268
17	161	8790
18	161	8363
19	162	7980
20	163	7631
21	164	7312
22	165	7020
23	166	6753
24	167	6513
25	167	6284
26	168	6074
27	169	5880
28	170	5699
29	170	5527
30	171	5367
31	172	5222
32	173	5090
33	174	4960
34	175	4835
35	176	4720
36	177	4612
37	178	4516
38	179	4418
39	180	4322
40	180	4232
41	181	4145
42	182	4061
43	183	3986
44	184	3917
45	185	3850
46	186	3782
47	187	3715
48	188	3652
49	189	3593
50	190	3538
51	191	3482
52	191	3427
53	192	3374
54	193	3326
55	194	3278
56	195	3230
57	196	3186
58	197	3145
59	198	3102
60	199	3064
61	199	3023
62	200	2984
63	201	2946
64	202	2908
65	203	2873
66	203	2839
67	204	2805
68	205	2773
69	206	2742
70	207	2712
71	208	2682
72	208	2653
73	209	2626
74	210	2600
75	211	2573
76	212	2546
77	213	2520
78	214	2495
79	214	2469
80	215	2446
81	216	2422
82	216	2396
83	217	2374
84	218	2352
85	219	2331
86	220	2311
87	221	2290
88	221	2270
89	222	2251
90	223	2231
91	224	2213
92	225	2194
93	225	2176
94	226	2158
95	227	2141
96	228	2124
97	229	2107
98	229	2091
99	230	2076
100	231	2060
101	232	2045
102	233	2030
103	233	2014
104	234	2001
105	235	1986
106	236	1974
107	237	1961
108	238	1948
109	239	1935
110	240	1923
111	241	1911
112	241	1898
113	242	1887
114	243	1876
115	244	1864
116	245	1850
117	246	1839
118	246	1828
119	247	1817
120	248	1806
121	249	1794
122	250	1784
123	251	1774
124	252	1765
125	253	1755
126	253	1744
127	254	1735
128	255	1725
129	256	1718
130	257	1708
131	258	1700
132	259	1690
133	260	1681
134	261	1673
135	261	1664
136	262	1656
137	263	1647
138	264	1639
139	265	1632
140	266	1623
141	267	1614
142	268	1606
143	268	1598
144	269	1590
145	270	1584
146	271	1576
147	272	1569
148	273	1561
149	274	1554
150	275	1547
151	276	1541
152	277	1533
153	277	1526
154	278	1519
155	279	1513
156	280	1506
157	281	1500
158	282	1494
159	283	1487
160	283	1479
161	284	1473
162	285	1467
163	286	1461
164	287	1455
165	288	1449
166	289	1443
167	290	1437
168	291	1432
169	292	1426
170	293	1420
171	293	1414
172	295	1410
173	295	1404
174	296	1398
175	297	1394
176	298	1388
177	299	1382
178	300	1377
179	301	1371
180	302	1366
181	302	1361
182	303	1357
183	304	1351
184	305	1346
185	306	1341
186	307	1336
187	308	1332
188	309	1326
189	310	1321
190	310	1316
191	311	1312
192	312	1307
193	313	1302
194	314	1298
195	315	1293
196	316	1289
197	317	1285
198	318	1280
199	319	1276
200	319	1271
201	320	1267
202	321	1263
203	322	1258
204	323	1254
205	324	1250
206	325	1245
207	326	1242
208	327	1238
209	328	1234
210	328	1229
211	330	1226
212	330	1222
213	331	1218
214	332	1214
215	333	1210
216	334	1206
217	335	1202
218	336	1198
219	337	1195
220	337	1191
221	338	1187
222	339	1183
223	340	1180
224	341	1176
225	342	1172
226	343	1168
227	344	1165
228	345	1161
229	345	1158
230	346	1154
231	347	1151
232	348	1148
233	349	1144
234	350	1140
235	351	1137
236	352	1134
237	353	1130
238	353	1127
239	354	1123
240	355	1120
241	356	1117
242	357	1114
243	358	1110
244	359	1107
245	360	1104
246	361	1101
247	362	1097
248	363	1094
249	363	1091
250	364	1088
251	365	1085
252	366	1082
253	367	1078
254	368	1076
255	369	1073
256	370	1070
257	371	1067
258	372	1064
259	372	1061
260	373	1058
261	374	1055
262	375	1052
263	376	1049
264	377	1046
265	378	1043
266	379	1041
267	380	1038
268	380	1035
269	381	1032
270	382	1029
271	383	1026
272	384	1023
273	385	1021
274	386	1018
275	387	1015
276	388	1012
277	389	1010
278	389	1007
279	390	1005
280	391	1002
281	392	999
282	393	997
283	394	994
284	395	991
285	396	989
286	397	986
287	398	984
288	398	981
289	399	979
290	400	976
291	401	973
292	402	971
293	403	968
294	404	966
295	405	964
296	406	961
297	407	958
298	408	956
299	408	954
300	409	951
301	410	949
302	411	946
303	412	945
304	413	943
305	415	941
306	416	939
307	417	937
308	418	935
309	419	932
310	420	930
311	420	928
312	421	925
313	422	923
314	423	921
315	424	918
316	425	916
317	426	914
318	427	911
319	428	909
320	428	907
321	429	904
322	430	902
323	431	900
324	432	898
325	433	896
326	434	894
327	435	891
328	436	889
329	437	887
330	437	885
331	438	882
332	439	881
333	440	878
334	441	876
335	442	874
336	443	872
337	444	870
338	445	868
339	446	866
340	447	864
341	448	862
342	449	860
343	450	858
344	450	856
345	451	853
346	452	851
347	453	849
348	454	848
349	455	845
350	456	844
351	457	841
352	458	839
353	459	837
354	459	835
355	461	834
356	461	832
357	462	830
358	463	828
359	464	825
360	465	824
361	466	822
362	467	820
363	468	818
364	469	816
365	470	814
366	471	812
367	472	810
368	472	808
